# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.25594     0.44330     0.00000   -2.194440348   -3.859562633   -1.665122285
     1      35     0.26707     0.46257     0.00000   -2.306776653   -3.948851619   -1.642074966
     1      35     0.27819     0.48185     0.00000   -2.379234040   -4.035310464   -1.656076424
     1      35     0.28932     0.50112     0.00000   -2.375253502   -4.032251504   -1.656998003
     1      35     0.30045     0.52040     0.00000   -2.361267450   -4.005140831   -1.643873381
     1      35     0.31158     0.53967     0.00000   -2.348725992   -3.976100501   -1.627374509
     1      35     0.32271     0.55894     0.00000   -2.340776417   -3.958049930   -1.617273513
     1      35     0.33383     0.57822     0.00000   -2.338241209   -3.945847438   -1.607606229
     1      35     0.33940     0.56858     0.00000   -2.338781341   -3.951367657   -1.612586315
     1      35     0.34496     0.55894     0.00000   -2.340222577   -3.957779635   -1.617557059
     1      35     0.35053     0.54931     0.00000   -2.342248967   -3.964604249   -1.622355282
     1      35     0.35609     0.53967     0.00000   -2.344497990   -3.972073845   -1.627575854
     1      35     0.36165     0.53003     0.00000   -2.346580817   -3.981695592   -1.635114775
     1      35     0.36722     0.52040     0.00000   -2.348101054   -3.991045913   -1.642944859
     1      35     0.37278     0.51076     0.00000   -2.348670678   -3.999576689   -1.650906012
     1      35     0.37835     0.50112     0.00000   -2.347920156   -4.008774926   -1.660854771
     1      35     0.38391     0.49148     0.00000   -2.345386270   -4.018095095   -1.672708825
     1      35     0.38947     0.48185     0.00000   -2.254675665   -3.862088999   -1.607413334
     1      35     0.39504     0.47221     0.00000   -2.135099594   -3.730471716   -1.595372122
     1      35     0.40060     0.46257     0.00000   -2.045512417   -3.690489327   -1.644976910
     1      35     0.40616     0.45294     0.00000   -1.976672774   -3.597113609   -1.620440835
     1      35     0.41173     0.44330     0.00000   -1.886286585   -3.480965363   -1.594678778
     1      35     0.41729     0.43366     0.00000   -1.782263717   -3.355194508   -1.572930791
     1      35     0.42286     0.42403     0.00000   -1.671366226   -3.245554131   -1.574187905
     1      35     0.42842     0.41439     0.00000   -1.558510807   -3.132613970   -1.574103163
     1      35     0.43398     0.40475     0.00000   -1.448028705   -3.020708576   -1.572679871
     1      35     0.43955     0.39512     0.00000   -1.345033426   -2.919873991   -1.574840565
     1      35     0.44511     0.38548     0.00000   -1.256403412   -2.852756127   -1.596352715
     1      35     0.45068     0.37584     0.00000   -1.189257041   -2.812965408   -1.623708366
     1      35     0.45624     0.36620     0.00000   -1.145341142   -2.793073125   -1.647731983
     1      35     0.46180     0.35657     0.00000   -1.119386655   -2.778129436   -1.658742782
     1      35     0.46737     0.34693     0.00000   -1.104762264   -2.769271049   -1.664508785
     1      35     0.47293     0.33729     0.00000   -1.096890599   -2.768894915   -1.672004317
     1      35     0.47850     0.32766     0.00000   -1.094966605   -2.798075802   -1.703109197
     1      35     0.48406     0.31802     0.00000   -1.094763055   -2.796666198   -1.701903143
     1      35     0.48962     0.30838     0.00000   -1.094467889   -2.794606588   -1.700138699
     1      35     0.49519     0.29875     0.00000   -1.093939940   -2.792662488   -1.698722547
     1      35     0.50075     0.28911     0.00000   -1.093174822   -2.790805110   -1.697630288
     1      35     0.50631     0.27947     0.00000   -1.093939940   -2.792662488   -1.698722547
     1      35     0.51188     0.26983     0.00000   -1.094467889   -2.794606588   -1.700138699
     1      35     0.51744     0.26020     0.00000   -1.094763055   -2.796666198   -1.701903143
     1      35     0.52301     0.25056     0.00000   -1.094966605   -2.798075802   -1.703109197
     1      35     0.52857     0.24092     0.00000   -1.096890599   -2.768894915   -1.672004317
     1      35     0.53413     0.23129     0.00000   -1.104762264   -2.769271049   -1.664508785
     1      35     0.53970     0.22165     0.00000   -1.119386655   -2.778129436   -1.658742782
     1      35     0.54526     0.21201     0.00000   -1.145341142   -2.793073125   -1.647731983
     1      35     0.55083     0.20238     0.00000   -1.189257041   -2.812965408   -1.623708366
     1      35     0.55639     0.19274     0.00000   -1.256403412   -2.852756127   -1.596352715
     1      35     0.56195     0.18310     0.00000   -1.345033426   -2.919873991   -1.574840565
     1      35     0.56752     0.17347     0.00000   -1.448028705   -3.020708576   -1.572679871
     1      35     0.57308     0.16383     0.00000   -1.558510807   -3.132613970   -1.574103163
     1      35     0.57865     0.15419     0.00000   -1.671366226   -3.245554131   -1.574187905
     1      35     0.58421     0.14455     0.00000   -1.782263717   -3.355194508   -1.572930791
     1      35     0.58977     0.13492     0.00000   -1.886286585   -3.480965363   -1.594678778
     1      35     0.59534     0.12528     0.00000   -1.976672774   -3.597113609   -1.620440835
     1      35     0.60090     0.11564     0.00000   -2.045512417   -3.690489327   -1.644976910
     1      35     0.60646     0.10601     0.00000   -2.135099594   -3.730471716   -1.595372122
     1      35     0.61203     0.09637     0.00000   -2.254675665   -3.862088999   -1.607413334
     1      35     0.61759     0.08673     0.00000   -2.345386270   -4.018095095   -1.672708825
     1      35     0.62316     0.07710     0.00000   -2.347920156   -4.008774926   -1.660854771
     1      35     0.62872     0.06746     0.00000   -2.348670678   -3.999576689   -1.650906012
     1      35     0.63428     0.05782     0.00000   -2.348101054   -3.991045913   -1.642944859
     1      35     0.63985     0.04818     0.00000   -2.346580817   -3.981695592   -1.635114775
     1      35     0.64541     0.03855     0.00000   -2.344497990   -3.972073845   -1.627575854
     1      35     0.65098     0.02891     0.00000   -2.342248967   -3.964604249   -1.622355282
     1      35     0.65654     0.01927     0.00000   -2.340222577   -3.957779635   -1.617557059
     1      35     0.66210     0.00964     0.00000   -2.338781341   -3.951367657   -1.612586315
     1      35     0.66767     0.00000     0.00000   -2.338241209   -3.945847439   -1.607606229
